icao24,callsign,origin,time_pos,last_con,long,lat,altitude,timestamp
75020d,MAS184  ,Malaysia,1772288436,1772288436,101.4073,3.7024,7277.1,2026-02-28 22:22:24
80152f,IGO1038 ,India,1772288427,1772288427,100.56,3.7504,8343.9,2026-02-28 22:22:24
75020d,MAS184  ,Malaysia,1772288436,1772288436,101.4073,3.7024,7277.1,2026-02-28 22:24:26
76b441,SIA739  ,Singapore,1772288651,1772288651,101.3664,3.7627,11277.6,2026-02-28 22:24:26
80152f,IGO1038 ,India,1772288427,1772288427,100.56,3.7504,8343.9,2026-02-28 22:24:26
750280,MAS198  ,Malaysia,1772288739,1772288745,100.7083,3.6427,8321.04,2026-02-28 22:26:27
75046f,MAS196  ,Malaysia,1772288778,1772288778,101.4656,3.7132,5707.38,2026-02-28 22:26:27
750280,MAS198  ,Malaysia,1772288739,1772288745,100.7083,3.6427,8321.04,2026-02-28 22:28:29
75046f,MAS196  ,Malaysia,1772288778,1772288778,101.4656,3.7132,5707.38,2026-02-28 22:28:29
750280,MAS198  ,Malaysia,1772288739,1772288745,100.7083,3.6427,8321.04,2026-02-28 22:30:31
75046f,MAS196  ,Malaysia,1772288778,1772288778,101.4656,3.7132,5707.38,2026-02-28 22:30:31
75020e,MAS796  ,Malaysia,1772289493,1772289493,101.4805,3.6026,6408.42,2026-02-28 22:38:38
75020e,MAS796  ,Malaysia,1772289493,1772289493,101.4805,3.6026,6408.42,2026-02-28 22:40:39
75020e,MAS796  ,Malaysia,1772289493,1772289493,101.4805,3.6026,6408.42,2026-02-28 22:42:40
750457,,Malaysia,1772289896,1772289896,100.3628,4.416,8846.82,2026-02-28 22:46:43
750457,,Malaysia,1772289896,1772289896,100.3628,4.416,8846.82,2026-02-28 22:48:46
7500e4,AXM6128 ,Malaysia,1772290222,1772290222,101.0047,3.656,7315.2,2026-02-28 22:50:47
7500e4,AXM6128 ,Malaysia,1772290343,1772290343,100.8876,3.8572,7315.2,2026-02-28 22:52:48
7502b3,AXM6132 ,Malaysia,1772290343,1772290343,100.9557,3.7299,6713.22,2026-02-28 22:52:48
7500e4,AXM6128 ,Malaysia,1772290463,1772290463,100.758,4.0796,7231.38,2026-02-28 22:54:49
